building_id;name_de;name_en;name_de_status;era;category;dlc;is_buildable;is_module;blueprint_cost_usd;construction_cost_usd;power_mw;power_note;jobs;education;job_quality;service_quality;visitors_capacity;households;housing_quality;minimum_wealth;road_required;size;beauty;unlock_building;special_notes;data_status;source_url;source_line_range
dock;Hafen;Dock;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;;9600;;;6;Ungebildet;;;;;;;Ja;6x15, Küste;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
construction_office;Bauunternehmen;Construction Office;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;;2000;;;6;Ungebildet;;;;;;;Ja;3x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
teamsters_office;Fuhrunternehmen;Teamster's Office;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;;2000;;;6;Ungebildet;;;;;;;Ja;2x3;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
landing;Anlegestelle;Landing;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;;300;;;;;;;;;;;Nein;2x5, Küste;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
teamster_port;Fuhrhafen;Teamster Port;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;;1700;;;6;Ungebildet;;;;;;;Ja;2x5, Küste;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
warehouse;Lagerhaus;Warehouse;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;;4000;;;;;;;;;;;Ja;3x3;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
trading_post;Handelsposten;Trading Post;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;500;1500;;;;;;;;;;;Ja;2x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
lighthouse;Leuchtturm;Lighthouse;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Tropican Shores;Ja;Nein;1500;6000;;;1;Ungebildet;;;;;;;Nein;2x2, Wasser;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
artificial_coral_reef;Künstliches Korallenriff;Artificial Coral Reef;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Verkehr und Infrastruktur;Tropican Shores;Ja;Nein;1250;5000;;;;;;;;;;;Nein;6x5, Wasser;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
coconut_harvester;Kokosnussernter;Coconut Harvester;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Nahrung und Rohstoffe;Grundspiel;Ja;Nein;;800;;;6;Ungebildet;;;;;;;;3x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L187-L209
logging_camp;Holzfällerlager;Logging Camp;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Nahrung und Rohstoffe;Grundspiel;Ja;Nein;;750;;;6;Ungebildet;;;;;;;;3x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L187-L209
fishermens_wharf;Fischereihafen;Fishermen's Wharf;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Nahrung und Rohstoffe;Grundspiel;Ja;Nein;;1200;;;5;Ungebildet;;;;;;;;5x6, Küste;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L187-L209
plantation;Plantage;Plantation;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Nahrung und Rohstoffe;Grundspiel;Ja;Nein;;1500;;;8;Ungebildet;;;;;;;;3x5 bis 6x9;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L187-L209
manure_spreader;Miststreuer;Manure Spreader;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Nahrung und Rohstoffe;Grundspiel;Ja;Nein;;300;;;3;Ungebildet;;;;;;;;1x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L187-L209
ranch;Ranch;Ranch;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Nahrung und Rohstoffe;Grundspiel;Ja;Nein;;900;;;4;Ungebildet;;;;;;;;4x4;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L187-L209
mine;Mine;Mine;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Nahrung und Rohstoffe;Grundspiel;Ja;Nein;;1200;;;5;Ungebildet;;;;;;;;3x4;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L187-L209
pearl_divers;Perlentaucher;Pearl Divers;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Nahrung und Rohstoffe;Tropican Shores;Ja;Nein;500;1000;;;4;Ungebildet;;;;;;;;2x2, Wasser;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L187-L209
beekeeper;Imkerei;Beekeeper;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Nahrung und Rohstoffe;Return to Nature;Ja;Nein;500;950;;;4;Ungebildet;;;;;;;;3x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L187-L209
lumber_mill;Sägewerk;Lumber Mill;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Industrie;Grundspiel;Ja;Nein;;5600;;;4;Ungebildet;;;;;;;;3x4;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L211-L245
rum_distillery;Rumbrennerei;Rum Distillery;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Industrie;Grundspiel;Ja;Nein;;9600;;;4;Ungebildet;;;;;;;;4x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L211-L245
tannery;Gerberei;Tannery;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Industrie;Grundspiel;Ja;Nein;;6000;;;5;Ungebildet;;;;;;;;3x3;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L211-L245
toy_workshop;Spielzeugfabrik;Toy Workshop;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Industrie;The Llama of Wall Street;Ja;Nein;1800;6500;;;4;Ungebildet;;;;;;;;2x3;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L211-L245
fireworks_factory;Feuerwerksfabrik;Fireworks Factory;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Industrie;Festival;Ja;Nein;5100;10200;;;4;Ungebildet;;;;;;;;4x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L211-L245
charcoal_burner;Köhlerei;Charcoal Burner;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Industrie;Return to Nature;Ja;Nein;1250;5000;;;4;Ungebildet;;;;;;;;2x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L211-L245
paper_mill;Papierfabrik;Paper Mill;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Industrie;Return to Nature;Ja;Nein;1625;6500;;;5;Ungebildet;;;;;;;;3x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L211-L245
printing_house;Druckerei;Printing House;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Industrie;Return to Nature;Ja;Nein;2125;8500;;;5;Ungebildet;;;;;;;;2x3;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L211-L245
country_house;Landhaus;Country House;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Wohnen;Grundspiel;Ja;Nein;;850;;;;;;;;2;48;Wohlhabend;;2x1;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L247-L270
bunkhouse;Baracke;Bunkhouse;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Wohnen;Grundspiel;Ja;Nein;;1200;;;;;;;;6;32;Arm;;2x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L247-L270
mansion;Villa;Mansion;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Wohnen;Grundspiel;Ja;Nein;500;1200;;;;;;;;2;68;Reich;;3x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L247-L270
residential_boat;Wohnboot;Residential Boat;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Wohnen;Tropican Shores;Ja;Nein;500;1300;;;;;;;;5;35;Arm;;3x1, Wasser;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L247-L270
tree_house;Baumhaus;Tree House;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Wohnen;Return to Nature;Ja;Nein;500;1100;;;;;;;;5;30;Arm;;2x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L247-L270
tavern;Taverne;Tavern;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Unterhaltung;Grundspiel;Ja;Nein;;1200;;;3;Ungebildet;40;32;12;;;Arm;;2x1;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L272-L296
circus;Zirkus;Circus;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Unterhaltung;Grundspiel;Ja;Nein;2400;4800;;;6;Ungebildet;45;45;36;;;Arm;;5x3;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L272-L296
busker;Straßenmusiker;Busker;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Unterhaltung;Grundspiel;Ja;Nein;800;400;;;1;Ungebildet;45;20;6;;;Pleite;;1x1, auf Straße;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L272-L296
custom_park;Individueller Park;Custom Park;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Unterhaltung;Grundspiel;Ja;Nein;;50 je Feld;;;;;;<60;<50;;;Pleite;;mind. 1x1;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L272-L296
dance_school;Tanzschule;Dance School;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Unterhaltung;Festival;Ja;Nein;2750;5500;;;3;Ungebildet;50;45;9;;;Pleite;;2x3;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L272-L296
festival_grounds;Festivalgelände;Festival Grounds;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Unterhaltung;Festival;Ja;Nein;2900;5800;;;4;Ungebildet;45;;;;;Pleite;Ja;3x3;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L272-L296
theater;Theater;Theater;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Luxusunterhaltung;Grundspiel;Ja;Nein;2650;5300;;;6;Oberschule;50;60;24;;;Wohlhabend;;4x3;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L298-L316
opera_house;Opernhaus;Opera House;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Luxusunterhaltung;Grundspiel;Ja;Nein;4940;9880;;;8;Oberschule;60;75;16;;;Reich;;4x4;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L298-L316
newspaper;Zeitung;Newspaper;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Medien und Bildung;Grundspiel;Ja;Nein;;1800;;;4;Oberschule;60;;;;;;;3x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L318-L334
library;Bibliothek;Library;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Medien und Bildung;Grundspiel;Ja;Nein;;3600;;;3;Oberschule;60;;;;;;;4x3;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L318-L334
chapel;Kapelle;Chapel;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Öffentliche Dienste;Grundspiel;Ja;Nein;;1700;;;2;Oberschule;55;45 (Glaube);8;;;Pleite;Nein;3x3;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L365-L394
grocery;Lebensmittelladen;Grocery;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Öffentliche Dienste;Grundspiel;Ja;Nein;;1200;;;4;Ungebildet;55;45 (Nahrung);16;;;Arm;Ja;3x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L365-L394
fresh_water_well;Frischwasserbrunnen;Fresh Water Well;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Öffentliche Dienste;Going Viral;Ja;Nein;500;600;;;;;;;;;;;Nein;1x1;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L365-L394
snake_oil_salesman;Quacksalber;Snake Oil Salesman;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Öffentliche Dienste;Going Viral;Ja;Nein;500;5000;;;3;Ungebildet;65;0 (Gesundheit);18;;;Pleite;Ja;1x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L365-L394
isolation_center;Isolationszentrum;Isolation Center;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Öffentliche Dienste;Going Viral;Ja;Nein;1000;3500;;;3;Oberschule;60;;18;;;Pleite;Nein;3x3;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L365-L394
herbalist;Kräuterkundler;Herbalist;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Öffentliche Dienste;Return to Nature;Ja;Nein;500;1500;;;1;Oberschule;50;35 (Gesundheit);8;;;Arm;Nein;2x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L365-L394
magazine_stand;Zeitschriftenstand;Magazine Stand;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Öffentliche Dienste;Return to Nature;Ja;Nein;500;600;;;1;Ungebildet;45;+10 (Freiheit);3;;;Arm;Nein;1x1;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L365-L394
wayside_shrine;Wegschrein;Wayside Shrine;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Öffentliche Dienste;Return to Nature;Ja;Nein;500;950;;;1;Ungebildet;45;+10 (Glaube);3;;;Pleite;Nein;1x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L365-L394
guard_tower;Wachturm;Guard Tower;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Überfälle und Militär;Grundspiel;Ja;Nein;1000;500;;;3;Ungebildet;40;;;;;;Nein;1x1;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L396-L417
fort;Fort;Fort;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Überfälle und Militär;Grundspiel;Ja;Nein;2000;4000;;;8;Ungebildet;35;;;;;;Nein;4x4;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L396-L417
pirate_cove;Piratenbucht;Pirate Cove;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Überfälle und Militär;Grundspiel;Ja;Nein;;4000;;;4;Ungebildet;50;;;;;;Nein;6x5, Küste;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L396-L417
palace;Palast;Palace;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Regierung und Finanzen;Grundspiel;Ja;Nein;;Vorgebaut;;;4;Ungebildet;60;;;;;;Nein;7x7;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L419-L437
dungeon;Kerker;Dungeon;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Kolonialzeit;Regierung und Finanzen;Grundspiel;Ja;Nein;;3000;;;4;Ungebildet;40;;8 in Gewahrsam;;;;Nein;3x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L419-L437
electric_substation;Umspannwerk;Electric Substation;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Zeitalter der Weltkriege;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;1000;2000;-10;;;;;;;;;;Nein;1x1;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
power_plant;Kraftwerk;Power Plant;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Zeitalter der Weltkriege;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;6000;12000;360;Wiki nennt zusätzlich 355 MW bei 100 % in einer Variante;6;Oberschule;;;;;;;Ja;4x6;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
parking_deck;Parkhaus;Parking Deck;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Zeitalter der Weltkriege;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;1000;1200;;;1;Ungebildet;;;;;;;Ja;2x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
bus_garage;Busdepot;Bus Garage;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Zeitalter der Weltkriege;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;1000;1500;;;4;Ungebildet;;;;;;;Ja;3x2;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
tunnel_connection;Tunnelverbindung;Tunnel Connection;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Zeitalter der Weltkriege;Verkehr und Infrastruktur;Grundspiel;Ja;Nein;;4000;;;;;;;;;;;Ja;1x4;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
cargo_airport;Frachtflughafen;Cargo Airport;"aus deutscher Benennungsliste; nicht vollständig gegen aktuelle Spiel-Lokalisierungsdateien geprüft";Zeitalter der Weltkriege;Verkehr und Infrastruktur;Caribbean Skies;Ja;Nein;7500;18000;;;6;Ungebildet;;;;;;;Ja;4x8;;;;verified_wiki_table;https://tropico.fandom.com/wiki/Buildings_(Tropico_6);L143-L185
